Starting Mouse Recording
20220228T1148267450--{X=1282,Y=405}--None--M
20220228T1148267560--{X=1282,Y=405}--None--M
20220228T1148267669--{X=1282,Y=407}--None--M
20220228T1148267828--{X=1283,Y=410}--None--M
20220228T1148267938--{X=1283,Y=412}--None--M
20220228T1148268048--{X=1283,Y=412}--None--M
20220228T1148268148--{X=1283,Y=412}--None--M
20220228T1148268257--{X=1283,Y=412}--None--M
20220228T1148268367--{X=1283,Y=412}--None--M
20220228T1148268476--{X=1283,Y=412}--None--M
20220228T1148268577--{X=1283,Y=412}--None--M
20220228T1148268686--{X=1283,Y=412}--None--M
20220228T1148268796--{X=1283,Y=412}--None--M
20220228T1148268905--{X=1283,Y=412}--None--M
20220228T1148269015--{X=1283,Y=412}--Left--M
20220228T1148269125--{X=1283,Y=412}--Left--M
20220228T1148269234--{X=1283,Y=412}--Left--M
20220228T1148269335--{X=1283,Y=412}--Left--M
20220228T1148269444--{X=1283,Y=412}--Left--M
20220228T1148269554--{X=1283,Y=412}--None--M
20220228T1148269664--{X=1283,Y=412}--None--M
20220228T1148269764--{X=1283,Y=412}--None--M
20220228T1148269873--{X=1283,Y=412}--None--M
20220228T1148269973--{X=1283,Y=412}--None--M
20220228T1148270082--{X=1283,Y=412}--None--M
20220228T1148270192--{X=1283,Y=412}--None--M
20220228T1148270302--{X=1283,Y=412}--None--M
20220228T1148270411--{X=1283,Y=412}--None--M
20220228T1148270511--{X=1283,Y=412}--None--M
20220228T1148270621--{X=1283,Y=412}--None--M
20220228T1148270731--{X=1283,Y=412}--None--M
20220228T1148270841--{X=1283,Y=412}--None--M
20220228T1148270940--{X=1283,Y=412}--None--M
20220228T1148271050--{X=1283,Y=412}--None--M
20220228T1148271160--{X=1283,Y=412}--None--M
20220228T1148271269--{X=1283,Y=412}--None--M
20220228T1148271370--{X=1283,Y=412}--None--M
20220228T1148271479--{X=1283,Y=412}--None--M
20220228T1148271580--{X=1283,Y=412}--None--M
20220228T1148271690--{X=1283,Y=412}--None--M
20220228T1148271800--{X=1283,Y=412}--None--M
20220228T1148271899--{X=1283,Y=412}--None--M
20220228T1148272009--{X=1283,Y=412}--None--M
20220228T1148272118--{X=1283,Y=412}--None--M
20220228T1148272228--{X=1283,Y=412}--None--M
20220228T1148272338--{X=1283,Y=412}--None--M
20220228T1148272449--{X=1283,Y=412}--None--M
20220228T1148272548--{X=1283,Y=412}--None--M
20220228T1148272658--{X=1283,Y=412}--None--M
20220228T1148272768--{X=1283,Y=412}--None--M
20220228T1148272877--{X=1283,Y=412}--None--M
20220228T1148272987--{X=1283,Y=412}--None--M
20220228T1148273097--{X=1283,Y=412}--None--M
20220228T1148273206--{X=1283,Y=412}--None--M
20220228T1148273316--{X=1283,Y=412}--None--M
20220228T1148273422--{X=1283,Y=412}--None--M
20220228T1148273522--{X=1283,Y=412}--None--M
20220228T1148273631--{X=1283,Y=412}--None--M
20220228T1148273741--{X=1283,Y=412}--None--M
20220228T1148273851--{X=1283,Y=412}--None--M
20220228T1148273960--{X=1283,Y=412}--None--M
20220228T1148274060--{X=1283,Y=412}--None--M
20220228T1148274170--{X=1283,Y=412}--None--M
20220228T1148274280--{X=1283,Y=412}--None--M
20220228T1148274386--{X=1283,Y=412}--None--M
20220228T1148274486--{X=1283,Y=412}--None--M
20220228T1148274596--{X=1283,Y=412}--None--M
20220228T1148274695--{X=1283,Y=412}--None--M
20220228T1148274805--{X=1283,Y=412}--None--M
20220228T1148274915--{X=1283,Y=412}--None--M
20220228T1148275015--{X=1283,Y=412}--None--M
20220228T1148275125--{X=1283,Y=412}--None--M
20220228T1148275234--{X=1283,Y=412}--None--M
20220228T1148275334--{X=1283,Y=412}--None--M
20220228T1148275443--{X=1283,Y=412}--None--M
20220228T1148275553--{X=1283,Y=412}--None--M
20220228T1148275653--{X=1283,Y=412}--None--M
20220228T1148275763--{X=1283,Y=412}--None--M
20220228T1148275873--{X=1283,Y=412}--None--M
